Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -70, 5600MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -91, 5805MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:dc, -72, 5540MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:98, -76, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -66, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -70, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -65, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -75, 5745MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:38, -69, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:dc, -72, 5540MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:98, -76, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:dc, -72, 5540MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:98, -76, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -75, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:dc, -72, 5540MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 44:1e:98:bb:55:dc, -83, 5180MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -65, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:60:78, -78, 2437MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:60:78, -78, 2437MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:9c, -73, 5220MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:38, -69, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -65, 2412MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -73, 5220MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:9c, -74, 5220MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -74, 5745MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -75, 5745MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 44:1e:98:fb:55:dc, -83, 5180MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -69, 5600MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -72, 2417MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:e8, -70, 2462MHz
2024-11-14 10:33:04, LAB_2_9AM_C_14, AP_1723919793, 9c:d8:63:cd:d0:1c, -88, 2467MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -65, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -64, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -67, 5280MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:9c, -74, 5220MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -68, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, , 9e:53:22:a7:13:f8, -80, 2417MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:d8, -64, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 44:1e:98:fb:55:d8, -80, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:0d, -74, 5745MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, ROBOTIC_LAB-5G, 78:98:e8:7a:2c:1b, -84, 5180MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:d8, -64, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:3c, -71, 5600MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -71, 5600MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -93, 5805MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -65, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -71, 2462MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -65, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 44:1e:98:bb:55:d8, -80, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -73, 5745MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -74, 2462MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -65, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:9c, -74, 5220MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -65, 2412MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -73, 5745MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -74, 5745MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:9c, -75, 5220MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -75, 5220MHz
2024-11-14 10:33:05, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -69, 5600MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -65, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -64, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -67, 5280MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:9c, -74, 5220MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -68, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, , 9e:53:22:a7:13:f8, -80, 2417MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:d8, -64, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 44:1e:98:fb:55:d8, -80, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:0d, -74, 5745MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, ROBOTIC_LAB-5G, 78:98:e8:7a:2c:1b, -84, 5180MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:d8, -64, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:3c, -71, 5600MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -71, 5600MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -93, 5805MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -65, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -71, 2462MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -65, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 44:1e:98:bb:55:d8, -80, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -73, 5745MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -74, 2462MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -65, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:9c, -74, 5220MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -65, 2412MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -73, 5745MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -74, 5745MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:9c, -75, 5220MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:9c, -75, 5220MHz
2024-11-14 10:33:06, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -69, 5600MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, , 9e:53:22:d7:13:f8, -78, 5765MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:ec, -77, 5580MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -66, 5280MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -78, 5765MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:38, -70, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -71, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, dasolarpnl, c0:c5:20:24:87:18, -84, 2467MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, , 9e:53:22:a7:13:f8, -73, 2417MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:d8, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:ec, -77, 5580MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:0d, -77, 5745MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -72, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, ROBOTIC_LAB-5G, 78:98:e8:7a:2c:1b, -83, 5180MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Udi BaBa, 52:23:43:7e:fe:53, -89, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Lab_211, 24:c9:a1:20:e7:48, -51, 2447MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:d8, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:3c, -70, 5600MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:e8, -72, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -71, 5600MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -92, 5805MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:98, -74, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -71, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -77, 5745MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:38, -70, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:ec, -77, 5580MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:98, -74, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:98, -73, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -63, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -77, 5580MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:38, -71, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -64, 2412MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -77, 5745MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -73, 5600MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -73, 2417MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:e8, -72, 2462MHz
2024-11-14 10:33:07, LAB_2_9AM_C_14, AP_1723919793, 9c:d8:63:cd:d0:1c, -87, 2467MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, , 9e:53:22:d7:13:f8, -78, 5765MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:ec, -77, 5580MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -66, 5280MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -78, 5765MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:38, -70, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -71, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, dasolarpnl, c0:c5:20:24:87:18, -84, 2467MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, , 9e:53:22:a7:13:f8, -73, 2417MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:d8, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:ec, -77, 5580MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:0d, -77, 5745MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -72, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, ROBOTIC_LAB-5G, 78:98:e8:7a:2c:1b, -83, 5180MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Udi BaBa, 52:23:43:7e:fe:53, -89, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Lab_211, 24:c9:a1:20:e7:48, -51, 2447MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:d8, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:3c, -70, 5600MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:e8, -72, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -71, 5600MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -92, 5805MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:98, -74, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -71, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -77, 5745MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:38, -70, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:ec, -77, 5580MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:98, -74, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:98, -73, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -63, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -77, 5580MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:38, -71, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -64, 2412MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -77, 5745MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -73, 5600MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -73, 2417MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:e8, -72, 2462MHz
2024-11-14 10:33:08, LAB_2_9AM_C_14, AP_1723919793, 9c:d8:63:cd:d0:1c, -87, 2467MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, , 9e:53:22:d7:13:f8, -78, 5765MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:ec, -77, 5580MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -66, 5280MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -78, 5765MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:38, -70, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -71, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, dasolarpnl, c0:c5:20:24:87:18, -84, 2467MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, , 9e:53:22:a7:13:f8, -73, 2417MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 58:b6:33:ba:1c:d8, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:ec, -77, 5580MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:0d, -77, 5745MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:e8, -72, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, ROBOTIC_LAB-5G, 78:98:e8:7a:2c:1b, -83, 5180MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Udi BaBa, 52:23:43:7e:fe:53, -89, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Lab_211, 24:c9:a1:20:e7:48, -51, 2447MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 58:b6:33:fa:1c:d8, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:3c, -70, 5600MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:e8, -72, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:3c, -71, 5600MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, 0006ae9b0e72, 00:06:ae:9b:0e:72, -92, 5805MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 60:d0:2c:5f:63:98, -74, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:08, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 1c:b9:c4:fd:84:e8, -71, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:08, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:0c, -77, 5745MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 18:4b:0d:63:75:38, -70, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 1c:b9:c4:7d:84:ec, -77, 5580MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 60:d0:2c:1f:63:98, -74, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 60:d0:2c:9f:63:98, -73, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 60:d0:2c:df:63:98, -73, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:3c, -70, 5600MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 24:79:2a:74:ea:08, -63, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 1c:b9:c4:3d:84:ec, -77, 5580MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_STAFF, 18:4b:0d:23:75:38, -71, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 24:79:2a:34:ea:09, -64, 2412MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 24:79:2a:f4:ea:0c, -77, 5745MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, Attendance, 24:79:2a:b4:ea:0c, -77, 5745MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:3c, -73, 5600MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, TP-Link_13F8_203, 9c:53:22:e7:13:f8, -73, 2417MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:e8, -72, 2462MHz
2024-11-14 10:33:09, LAB_2_9AM_C_14, AP_1723919793, 9c:d8:63:cd:d0:1c, -87, 2467MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, , 9e:53:22:d7:13:f8, -78, 5765MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, DA_Public, 1c:b9:c4:bd:84:ec, -77, 5580MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, Attendance, 58:b6:33:7a:1c:d8, -63, 2412MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -63, 2412MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, Lab_211_5G, 24:c9:a1:20:e7:4c, -66, 5280MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -78, 5765MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, DA_Public, 18:4b:0d:a3:75:38, -70, 2412MHz
2024-11-14 10:33:10, LAB_2_9AM_C_14, DAIICT_Student, 18:4b:0d:e3:75:38, -71, 2412MHz
